employee_id,team_id,timestamp,mood
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:55:49,angry
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:55:56,happy
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:56:02,neutral
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:56:09,sad
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:56:15,angry
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:56:22,neutral
2262bcc2e9f7ec148a59cd9d0aa668d9af5d372dd3477a11ddfa5dc722fc8bab,teamB,2025-04-13 17:56:28,neutral
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:57:56,sad
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:58:02,sad
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:58:08,neutral
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:58:15,angry
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:58:21,sad
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:58:27,happy
2262bcc2e9f7ec148a59cd9d0aa668d9af5d372dd3477a11ddfa5dc722fc8bab,teamB,2025-04-13 17:58:34,happy
2262bcc2e9f7ec148a59cd9d0aa668d9af5d372dd3477a11ddfa5dc722fc8bab,teamB,2025-04-13 17:58:40,happy
2262bcc2e9f7ec148a59cd9d0aa668d9af5d372dd3477a11ddfa5dc722fc8bab,teamB,2025-04-13 17:58:46,sad
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:59:22,fear
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:59:29,fear
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 17:59:35,angry
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:59:41,neutral
88382b7dd2d7bfd371b76a71f507483d8061687f3b3a3f95fae5fed888ba3007,teamA,2025-04-13 17:59:47,neutral
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 18:03:24,fear
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 18:03:34,sad
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 18:07:10,neutral
7d0418994be98b35dbb660d1868edc9b7f20871a8896588d2f157cd7c389760f,teamA,2025-04-13 18:07:52,happy
